One More Time - Daft Punk	Discovery	Daft Punk
Aerodynamic - Daft Punk	Discovery	Daft Punk
Digital Love - Daft Punk	Discovery	Daft Punk
Harder, Better, Faster, Stronger - Daft Punk	Discovery	Daft Punk
Crescendolls - Daft Punk	Discovery	Daft Punk
Nightvision - Daft Punk	Discovery	Daft Punk
Superheroes - Daft Punk	Discovery	Daft Punk
High Life - Daft Punk	Discovery	Daft Punk
Something About Us - Daft Punk	Discovery	Daft Punk
Voyager - Daft Punk	Discovery	Daft Punk
Veridis Quo - Daft Punk	Discovery	Daft Punk
Short Circuit - Daft Punk	Discovery	Daft Punk
Face to Face - Daft Punk	Discovery	Daft Punk
Too Long - Daft Punk	Discovery	Daft Punk
Human After All - Daft Punk	Human After All	Daft Punk	GOAL
The Prime Time of Your Life - Daft Punk	Human After All	Daft Punk	GOAL
Robot Rock - Daft Punk	Human After All	Daft Punk	GOAL
Steam Machine - Daft Punk	Human After All	Daft Punk	GOAL
Make Love - Daft Punk	Human After All	Daft Punk	GOAL
The Brainwasher - Daft Punk	Human After All	Daft Punk	GOAL
On/Off - Daft Punk	Human After All	Daft Punk	GOAL
Television Rules the Nation - Daft Punk	Human After All	Daft Punk	GOAL
Technologic - Daft Punk	Human After All	Daft Punk	GOAL
Emotion - Daft Punk	Human After All	Daft Punk	GOAL
Give Life Back to Music - Daft Punk	Random Access Memories	Daft Punk
The Game of Love - Daft Punk	Random Access Memories	Daft Punk
Giorgio by Moroder - Daft Punk	Random Access Memories	Daft Punk
Within - Daft Punk	Random Access Memories	Daft Punk
Instant Crush (feat. Julian Casablancas) - Daft Punk	Random Access Memories	Daft Punk
Lose Yourself to Dance (feat. Pharrell Williams) - Daft Punk	Random Access Memories	Daft Punk
Touch (feat. Paul Williams) - Daft Punk	Random Access Memories	Daft Punk
Get Lucky (feat. Pharrell Williams and Nile Rodgers) - Daft Punk	Random Access Memories	Daft Punk
Beyond - Daft Punk	Random Access Memories	Daft Punk
Motherboard - Daft Punk	Random Access Memories	Daft Punk
Fragments of Time (feat. Todd Edwards) - Daft Punk	Random Access Memories	Daft Punk
Doin’ It Right (feat. Panda Bear) - Daft Punk	Random Access Memories	Daft Punk
Contact - Daft Punk	Random Access Memories	Daft Punk
Horizon Ouverture - Daft Punk	Random Access Memories	Daft Punk
Horizon - Daft Punk	Random Access Memories	Daft Punk
GLBTM (studio outtakes) - Daft Punk	Random Access Memories	Daft Punk
Infinity Repeating (2013 demo) (feat. The Voidz) - Daft Punk	Random Access Memories	Daft Punk
GL (early take) (feat. Pharrell Williams and Nile Rodgers) - Daft Punk	Random Access Memories	Daft Punk
Prime (2012 unfinished) - Daft Punk	Random Access Memories	Daft Punk
LYTD (vocoder tests) (feat. Pharrell Williams) - Daft Punk	Random Access Memories	Daft Punk
The Writing of Fragments of Time (feat. Todd Edwards) - Daft Punk	Random Access Memories	Daft Punk
Touch (2021 epilogue) (feat. Paul Williams) - Daft Punk	Random Access Memories	Daft Punk
Elseware - Oneohtrix Point Never	Again	Oneohtrix Point Never
Again - Oneohtrix Point Never	Again	Oneohtrix Point Never
World Outside - Oneohtrix Point Never	Again	Oneohtrix Point Never
Krumville - Oneohtrix Point Never	Again	Oneohtrix Point Never
Locrian Midwest - Oneohtrix Point Never	Again	Oneohtrix Point Never
Plastic Antique - Oneohtrix Point Never	Again	Oneohtrix Point Never
Gray Subviolet - Oneohtrix Point Never	Again	Oneohtrix Point Never
The Body Trail - Oneohtrix Point Never	Again	Oneohtrix Point Never
Nightmare Paint - Oneohtrix Point Never	Again	Oneohtrix Point Never
Memories of Music - Oneohtrix Point Never	Again	Oneohtrix Point Never
On an Axis - Oneohtrix Point Never	Again	Oneohtrix Point Never
Ubiquity Road - Oneohtrix Point Never	Again	Oneohtrix Point Never
A Barely Lit Path - Oneohtrix Point Never	Again	Oneohtrix Point Never
For Residue - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Bumpy - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Lifeworld - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Measuring Ruins - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Modern Lust - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Fear of Symmetry - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Vestigel - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Cherry Blue - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Bell Scanner - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
D.I.S. - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Tranquilizer - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Storm Show - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Petro - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Rodl Glide - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Waterfalls - Oneohtrix Point Never	Tranquilizer	Oneohtrix Point Never	GOAL
Ready Lets Go - Boards of Canada	Geogaddi	Boards of Canada
Music Is Math - Boards of Canada	Geogaddi	Boards of Canada
Beware the Friendly Stranger - Boards of Canada	Geogaddi	Boards of Canada
Gyroscope - Boards of Canada	Geogaddi	Boards of Canada
Dandelion - Boards of Canada	Geogaddi	Boards of Canada
Sunshine Recorder - Boards of Canada	Geogaddi	Boards of Canada
In the Annexe - Boards of Canada	Geogaddi	Boards of Canada
Julie and Candy - Boards of Canada	Geogaddi	Boards of Canada
The Smallest Weird Number - Boards of Canada	Geogaddi	Boards of Canada
1969 - Boards of Canada	Geogaddi	Boards of Canada
Energy Warning - Boards of Canada	Geogaddi	Boards of Canada
The Beach at Redpoint - Boards of Canada	Geogaddi	Boards of Canada
